This table lists all knockdown/RNA-seq ENCODE experiments examined while
looking for LARS splicing regulators. The File column shows the rMATS
differential splicing quantifications file accession from each experiment.
Experiments missing this file were not included in the search.

CellLine Target    Experiment  File       
-------- ------    ----------  ----       
HepG2    AARS      ENCSR547NWD ENCFF555AMB
HepG2    AATF      ENCSR424YSV ENCFF751HCX
HepG2    ABCF1     ENCSR610VTA ENCFF291DXR
HepG2    ACO1      ENCSR511SYK ENCFF883LPS
HepG2    ADAR      ENCSR104OLN ENCFF257PXZ
HepG2    AGO1      ENCSR533HXS ENCFF542ONY
HepG2    AKAP1     ENCSR016IDR ENCFF622DQB
HepG2    AKAP8     ENCSR958KSY ENCFF627ECK
HepG2    AKAP8L    ENCSR807ODB ENCFF197WCU
HepG2    APOBEC3C  ENCSR012DAF ENCFF437DZP
HepG2    ASCC1     ENCSR193FFA ENCFF142BQO
HepG2    ATP5C1    ENCSR713OLV ENCFF013VWX
HepG2    AUH       ENCSR409CSO ENCFF227HIP
HepG2    BCCIP     ENCSR570CWH ENCFF828EEG
HepG2    BCLAF1    ENCSR481AYC ENCFF554SSE
HepG2    BOP1      ENCSR925SYZ ENCFF111DBS
HepG2    BUD13     ENCSR382QKD ENCFF102EUV
HepG2    CALR      ENCSR040WAK ENCFF666ZHO
HepG2    CCAR1     ENCSR081IAO ENCFF533GAE
HepG2    CCAR2     ENCSR237IWZ ENCFF336CRM
HepG2    CEBPZ     ENCSR929PXS ENCFF974AVQ
HepG2    CELF1     ENCSR695XOD ENCFF005ODQ
HepG2    CIRBP     ENCSR230ORC ENCFF137DOB
HepG2    CKAP4     ENCSR269SJB ENCFF032YHW
HepG2    CNOT7     ENCSR274KWA ENCFF450UZN
HepG2    CPSF6     ENCSR676EKU ENCFF851IBN
HepG2    CPSF7     ENCSR594DNW ENCFF570SME
HepG2    CSTF2     ENCSR815JDY ENCFF920JVC
HepG2    CSTF2T    ENCSR914WQV ENCFF175PMF
HepG2    DAZAP1    ENCSR840QFR            
HepG2    DAZAP1    ENCSR220TBR            
HepG2    DDX1      ENCSR070LJO ENCFF998AUP
HepG2    DDX19B    ENCSR312SFA ENCFF183ALV
HepG2    DDX21     ENCSR485ZTC ENCFF424VQJ
HepG2    DDX24     ENCSR300IEW ENCFF217MOP
HepG2    DDX27     ENCSR210RWL ENCFF679KDH
HepG2    DDX28     ENCSR222CSF ENCFF423FVE
HepG2    DDX3X     ENCSR637JLM ENCFF507IMB
HepG2    DDX47     ENCSR388CNS ENCFF376SOE
HepG2    DDX5      ENCSR808FBR ENCFF734CYQ
HepG2    DDX52     ENCSR913ZWR ENCFF558TSU
HepG2    DDX55     ENCSR964YTW ENCFF651AXR
HepG2    DDX59     ENCSR598GKQ ENCFF340JFH
HepG2    DDX6      ENCSR147ZBD ENCFF476XIK
HepG2    DHX30     ENCSR853PBF ENCFF485PKI
HepG2    DKC1      ENCSR118KUN ENCFF841XPZ
